"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","state","new_confirmed","new_deaths"
NA,16,2020-03-20,12,861773,845731,FALSE,FALSE,1,0.11604,2020-03-20,0,0,1,"AP",1,0
NA,16,2020-03-21,12,861773,845731,FALSE,FALSE,1,0.11604,2020-03-21,0,0,2,"AP",0,0
NA,16,2020-03-22,13,861773,845731,FALSE,FALSE,1,0.11604,2020-03-22,0,0,3,"AP",0,0
NA,16,2020-03-23,13,861773,845731,FALSE,FALSE,1,0.11604,2020-03-23,0,0,4,"AP",0,0
NA,16,2020-03-24,13,861773,845731,FALSE,FALSE,1,0.11604,2020-03-24,0,0,5,"AP",0,0
NA,16,2020-03-25,13,861773,845731,FALSE,FALSE,2,0.23208,2020-03-25,0,0,6,"AP",1,0
NA,16,2020-03-26,13,861773,845731,FALSE,FALSE,2,0.23208,2020-03-26,0,0,7,"AP",0,0
NA,16,2020-03-27,13,861773,845731,FALSE,FALSE,3,0.34812,2020-03-27,0,0,8,"AP",1,0
NA,16,2020-03-28,13,861773,845731,FALSE,FALSE,4,0.46416,2020-03-28,0,0,9,"AP",1,0
NA,16,2020-03-29,14,861773,845731,FALSE,FALSE,8,0.92832,2020-03-29,0,0,10,"AP",4,0
NA,16,2020-03-30,14,861773,845731,FALSE,FALSE,8,0.92832,2020-03-30,0,0,11,"AP",0,0
NA,16,2020-03-31,14,861773,845731,FALSE,FALSE,10,1.1604,2020-03-31,0,0,12,"AP",2,0
NA,16,2020-04-01,14,861773,845731,FALSE,FALSE,11,1.27644,2020-04-01,0,0,13,"AP",1,0
NA,16,2020-04-02,14,861773,845731,FALSE,FALSE,12,1.39248,2020-04-02,0,0,14,"AP",1,0
NA,16,2020-04-03,14,861773,845731,FALSE,FALSE,19,2.20476,2020-04-03,0,0,15,"AP",7,0
NA,16,2020-04-04,14,861773,845731,FALSE,FALSE,29,3.36516,2020-04-04,0.0345,1,16,"AP",10,1
NA,16,2020-04-05,15,861773,845731,FALSE,FALSE,32,3.71327,2020-04-05,0.0312,1,17,"AP",3,0
NA,16,2020-04-06,15,861773,845731,FALSE,FALSE,39,4.52555,2020-04-06,0.0513,2,18,"AP",7,1
NA,16,2020-04-07,15,861773,845731,FALSE,FALSE,51,5.91803,2020-04-07,0.0392,2,19,"AP",12,0
NA,16,2020-04-08,15,861773,845731,FALSE,FALSE,107,12.41626,2020-04-08,0.0187,2,20,"AP",56,0
NA,16,2020-04-09,15,861773,845731,FALSE,FALSE,110,12.76438,2020-04-09,0.0182,2,21,"AP",3,0
NA,16,2020-04-10,15,861773,845731,FALSE,FALSE,166,19.26261,2020-04-10,0.012,2,22,"AP",56,0
NA,16,2020-04-11,15,861773,845731,FALSE,FALSE,193,22.39569,2020-04-11,0.0259,5,23,"AP",27,3
NA,16,2020-04-12,16,861773,845731,FALSE,FALSE,237,27.50144,2020-04-12,0.0211,5,24,"AP",44,0
NA,16,2020-04-13,16,861773,845731,FALSE,FALSE,244,28.31372,2020-04-13,0.0246,6,25,"AP",7,1
NA,16,2020-04-14,16,861773,845731,FALSE,FALSE,308,35.74027,2020-04-14,0.0227,7,26,"AP",64,1
NA,16,2020-04-15,16,861773,845731,FALSE,FALSE,342,39.68562,2020-04-15,0.0205,7,27,"AP",34,0
NA,16,2020-04-16,16,861773,845731,FALSE,FALSE,362,42.00642,2020-04-16,0.0276,10,28,"AP",20,3
NA,16,2020-04-17,16,861773,845731,FALSE,FALSE,375,43.51494,2020-04-17,0.0267,10,29,"AP",13,0
NA,16,2020-04-18,16,861773,845731,FALSE,FALSE,400,46.41594,2020-04-18,0.025,10,30,"AP",25,0
NA,16,2020-04-19,17,861773,845731,FALSE,FALSE,416,48.27257,2020-04-19,0.0264,11,31,"AP",16,1
NA,16,2020-04-20,17,861773,845731,FALSE,FALSE,435,50.47733,2020-04-20,0.0299,13,32,"AP",19,2
NA,16,2020-04-21,17,861773,845731,FALSE,FALSE,466,54.07456,2020-04-21,0.0279,13,33,"AP",31,0
NA,16,2020-04-22,17,861773,845731,FALSE,FALSE,492,57.0916,2020-04-22,0.0285,14,34,"AP",26,1
NA,16,2020-04-23,17,861773,845731,FALSE,FALSE,555,64.40211,2020-04-23,0.0288,16,35,"AP",63,2
NA,16,2020-04-24,17,861773,845731,FALSE,FALSE,648,75.19382,2020-04-24,0.0278,18,36,"AP",93,2
NA,16,2020-04-25,17,861773,845731,FALSE,FALSE,689,79.95145,2020-04-25,0.029,20,37,"AP",41,2
NA,16,2020-04-26,18,861773,845731,FALSE,FALSE,821,95.26871,2020-04-26,0.028,23,38,"AP",132,3
NA,16,2020-04-27,18,861773,845731,FALSE,FALSE,842,97.70554,2020-04-27,0.0309,26,39,"AP",21,3
NA,16,2020-04-28,18,861773,845731,FALSE,FALSE,918,106.52457,2020-04-28,0.0305,28,40,"AP",76,2
NA,16,2020-04-29,18,861773,845731,FALSE,FALSE,1016,117.89648,2020-04-29,0.0305,31,41,"AP",98,3
NA,16,2020-04-30,18,861773,845731,FALSE,FALSE,1080,125.32303,2020-04-30,0.0315,34,42,"AP",64,3
NA,16,2020-05-01,18,861773,845731,FALSE,FALSE,1121,130.08066,2020-05-01,0.033,37,43,"AP",41,3
NA,16,2020-05-02,18,861773,845731,FALSE,FALSE,1187,137.73929,2020-05-02,0.0337,40,44,"AP",66,3
NA,16,2020-05-03,19,861773,845731,FALSE,FALSE,1482,171.97104,2020-05-03,0.029,43,45,"AP",295,3
NA,16,2020-05-04,19,861773,845731,FALSE,FALSE,1733,201.09704,2020-05-04,0.0283,49,46,"AP",251,6
NA,16,2020-05-05,19,861773,845731,FALSE,FALSE,1931,224.07293,2020-05-05,0.0285,55,47,"AP",198,6
NA,16,2020-05-06,19,861773,845731,FALSE,FALSE,2046,237.41751,2020-05-06,0.0274,56,48,"AP",115,1
NA,16,2020-05-07,19,861773,845731,FALSE,FALSE,2199,255.17161,2020-05-07,0.0277,61,49,"AP",153,5
NA,16,2020-05-08,19,861773,845731,FALSE,FALSE,2322,269.44451,2020-05-08,0.0284,66,50,"AP",123,5
NA,16,2020-05-09,19,861773,845731,FALSE,FALSE,2493,289.28732,2020-05-09,0.0277,69,51,"AP",171,3
NA,16,2020-05-10,20,861773,845731,FALSE,FALSE,2613,303.2121,2020-05-10,0.0276,72,52,"AP",120,3
NA,16,2020-05-11,20,861773,845731,FALSE,FALSE,2671,309.94241,2020-05-11,0.0273,73,53,"AP",58,1
NA,16,2020-05-12,20,861773,845731,FALSE,FALSE,2910,337.67593,2020-05-12,0.0296,86,54,"AP",239,13
NA,16,2020-05-13,20,861773,845731,FALSE,FALSE,3005,348.69972,2020-05-13,0.0313,94,55,"AP",95,8
NA,16,2020-05-14,20,861773,845731,FALSE,FALSE,3428,397.78457,2020-05-14,0.0295,101,56,"AP",423,7
NA,16,2020-05-15,20,861773,845731,FALSE,FALSE,3630,421.22461,2020-05-15,0.0284,103,57,"AP",202,2
NA,16,2020-05-16,20,861773,845731,FALSE,FALSE,3834,444.89674,2020-05-16,0.0282,108,58,"AP",204,5
NA,16,2020-05-17,21,861773,845731,FALSE,FALSE,3952,458.58944,2020-05-17,0.0301,119,59,"AP",118,11
NA,16,2020-05-18,21,861773,845731,FALSE,FALSE,4023,466.82827,2020-05-18,0.0316,127,60,"AP",71,8
NA,16,2020-05-19,21,861773,845731,FALSE,FALSE,4310,500.13171,2020-05-19,0.0316,136,61,"AP",287,9
NA,16,2020-05-20,21,861773,845731,FALSE,FALSE,4549,527.86523,2020-05-20,0.0312,142,62,"AP",239,6
NA,16,2020-05-21,21,861773,845731,FALSE,FALSE,5188,602.01468,2020-05-21,0.0291,151,63,"AP",639,9
NA,16,2020-05-22,21,861773,845731,FALSE,FALSE,5655,656.20529,2020-05-22,0.0278,157,64,"AP",467,6
NA,16,2020-05-23,21,861773,845731,FALSE,TRUE,5655,656.20529,2020-05-22,0.0278,157,65,"AP",0,0
NA,16,2020-05-24,22,861773,845731,FALSE,FALSE,6353,737.2011,2020-05-24,0.0257,163,66,"AP",698,6
NA,16,2020-05-25,22,861773,845731,FALSE,FALSE,6584,764.0063,2020-05-25,0.0255,168,67,"AP",231,5
NA,16,2020-05-26,22,861773,845731,FALSE,FALSE,6967,808.44956,2020-05-26,0.0248,173,68,"AP",383,5
NA,16,2020-05-27,22,861773,845731,FALSE,FALSE,7619,884.10753,2020-05-27,0.024,183,69,"AP",652,10
NA,16,2020-05-28,22,861773,845731,FALSE,FALSE,8152,945.95677,2020-05-28,0.0243,198,70,"AP",533,15
NA,16,2020-05-29,22,861773,845731,FALSE,FALSE,8469,982.74139,2020-05-29,0.0244,207,71,"AP",317,9
NA,16,2020-05-30,22,861773,845731,FALSE,FALSE,9313,1080.67902,2020-05-30,0.0231,215,72,"AP",844,8
NA,16,2020-05-31,23,861773,845731,FALSE,FALSE,9602,1114.21453,2020-05-31,0.0231,222,73,"AP",289,7
NA,16,2020-06-01,23,861773,845731,FALSE,FALSE,9890,1147.63401,2020-06-01,0.0231,228,74,"AP",288,6
NA,16,2020-06-02,23,861773,845731,FALSE,FALSE,10511,1219.69475,2020-06-02,0.0225,237,75,"AP",621,9
NA,16,2020-06-03,23,861773,845731,FALSE,FALSE,11107,1288.85449,2020-06-03,0.0222,247,76,"AP",596,10
NA,16,2020-06-04,23,861773,845731,FALSE,FALSE,11551,1340.37618,2020-06-04,0.022,254,77,"AP",444,7
NA,16,2020-06-05,23,861773,845731,FALSE,FALSE,12327,1430.42309,2020-06-05,0.0211,260,78,"AP",776,6
NA,16,2020-06-06,23,861773,845731,FALSE,FALSE,12773,1482.17686,2020-06-06,0.0211,269,79,"AP",446,9
NA,16,2020-06-07,24,861773,845731,FALSE,FALSE,13045,1513.7397,2020-06-07,0.0209,272,80,"AP",272,3
NA,16,2020-06-08,24,861773,845731,FALSE,FALSE,13294,1542.63362,2020-06-08,0.0209,278,81,"AP",249,6
NA,16,2020-06-09,24,861773,845731,FALSE,FALSE,13771,1597.98462,2020-06-09,0.0207,285,82,"AP",477,7
NA,16,2020-06-10,24,861773,845731,FALSE,FALSE,14623,1696.85056,2020-06-10,0.0198,289,83,"AP",852,4
NA,16,2020-06-11,24,861773,845731,FALSE,FALSE,15166,1759.8602,2020-06-11,0.02,303,84,"AP",543,14
NA,16,2020-06-12,24,861773,845731,FALSE,FALSE,15683,1819.85279,2020-06-12,0.0199,312,85,"AP",517,9
NA,16,2020-06-13,24,861773,845731,FALSE,FALSE,16322,1894.00225,2020-06-13,0.0195,319,86,"AP",639,7
NA,16,2020-06-14,25,861773,845731,FALSE,FALSE,16512,1916.04982,2020-06-14,0.0196,324,87,"AP",190,5
NA,16,2020-06-15,25,861773,845731,FALSE,FALSE,16813,1950.97781,2020-06-15,0.0196,329,88,"AP",301,5
NA,16,2020-06-16,25,861773,845731,FALSE,FALSE,18024,2091.50205,2020-06-16,0.0187,337,89,"AP",1211,8
NA,16,2020-06-17,25,861773,845731,FALSE,FALSE,18618,2160.42972,2020-06-17,0.0182,338,90,"AP",594,1
NA,16,2020-06-18,25,861773,845731,FALSE,FALSE,19387,2249.66435,2020-06-18,0.0176,342,91,"AP",769,4
NA,16,2020-06-19,25,861773,845731,FALSE,FALSE,19922,2311.74567,2020-06-19,0.0175,348,92,"AP",535,6
NA,16,2020-06-20,25,861773,845731,FALSE,FALSE,21574,2503.44348,2020-06-20,0.0164,353,93,"AP",1652,5
NA,16,2020-06-21,26,861773,845731,FALSE,FALSE,21840,2534.31008,2020-06-21,0.0164,359,94,"AP",266,6
NA,16,2020-06-22,26,861773,845731,FALSE,FALSE,24862,2884.98247,2020-06-22,0.015,372,95,"AP",3022,13
NA,16,2020-06-23,26,861773,845731,FALSE,FALSE,26437,3067.74522,2020-06-23,0.0144,380,96,"AP",1575,8
NA,16,2020-06-24,26,861773,845731,FALSE,FALSE,26919,3123.67642,2020-06-24,0.0144,387,97,"AP",482,7
NA,16,2020-06-25,26,861773,845731,FALSE,FALSE,27415,3181.23218,2020-06-25,0.0144,394,98,"AP",496,7
NA,16,2020-06-26,26,861773,845731,FALSE,FALSE,27662,3209.89402,2020-06-26,0.0145,401,99,"AP",247,7
NA,16,2020-06-27,26,861773,845731,FALSE,FALSE,27901,3237.62754,2020-06-27,0.0146,406,100,"AP",239,5
NA,16,2020-06-28,27,861773,845731,FALSE,FALSE,27985,3247.37489,2020-06-28,0.0145,407,101,"AP",84,1
NA,16,2020-06-29,27,861773,845731,FALSE,FALSE,28253,3278.47357,2020-06-29,0.0146,413,102,"AP",268,6
NA,16,2020-06-30,27,861773,845731,FALSE,FALSE,28492,3306.20709,2020-06-30,0.0146,417,103,"AP",239,4
NA,16,2020-07-01,27,861773,845731,FALSE,FALSE,28927,3356.68442,2020-07-01,0.0145,420,104,"AP",435,3
NA,16,2020-07-02,27,861773,845731,FALSE,FALSE,29153,3382.90942,2020-07-02,0.0146,427,105,"AP",226,7
NA,16,2020-07-03,27,861773,845731,FALSE,FALSE,29574,3431.76219,2020-07-03,0.0148,438,106,"AP",421,11
NA,16,2020-07-04,27,861773,845731,FALSE,FALSE,29809,3459.03155,2020-07-04,0.0148,441,107,"AP",235,3
NA,16,2020-07-05,28,861773,845731,FALSE,FALSE,29883,3467.6185,2020-07-05,0.0148,442,108,"AP",74,1
NA,16,2020-07-06,28,861773,845731,FALSE,FALSE,30004,3481.65932,2020-07-06,0.015,449,109,"AP",121,7
