"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","state","new_confirmed","new_deaths"
"Macapá",1600303,2020-03-20,12,512902,503327,FALSE,FALSE,1,0.19497,2020-03-20,0,0,1,"AP",1,0
"Macapá",1600303,2020-03-21,12,512902,503327,FALSE,FALSE,1,0.19497,2020-03-21,0,0,2,"AP",0,0
"Macapá",1600303,2020-03-22,13,512902,503327,FALSE,FALSE,1,0.19497,2020-03-22,0,0,3,"AP",0,0
"Macapá",1600303,2020-03-23,13,512902,503327,FALSE,FALSE,1,0.19497,2020-03-23,0,0,4,"AP",0,0
"Macapá",1600303,2020-03-24,13,512902,503327,FALSE,FALSE,1,0.19497,2020-03-24,0,0,5,"AP",0,0
"Macapá",1600303,2020-03-25,13,512902,503327,FALSE,FALSE,2,0.38994,2020-03-25,0,0,6,"AP",1,0
"Macapá",1600303,2020-03-26,13,512902,503327,FALSE,FALSE,2,0.38994,2020-03-26,0,0,7,"AP",0,0
"Macapá",1600303,2020-03-27,13,512902,503327,FALSE,FALSE,3,0.58491,2020-03-27,0,0,8,"AP",1,0
"Macapá",1600303,2020-03-28,13,512902,503327,FALSE,FALSE,4,0.77988,2020-03-28,0,0,9,"AP",1,0
"Macapá",1600303,2020-03-29,14,512902,503327,FALSE,FALSE,8,1.55975,2020-03-29,0,0,10,"AP",4,0
"Macapá",1600303,2020-03-30,14,512902,503327,FALSE,FALSE,8,1.55975,2020-03-30,0,0,11,"AP",0,0
"Macapá",1600303,2020-03-31,14,512902,503327,FALSE,FALSE,10,1.94969,2020-03-31,0,0,12,"AP",2,0
"Macapá",1600303,2020-04-01,14,512902,503327,FALSE,FALSE,11,2.14466,2020-04-01,0,0,13,"AP",1,0
"Macapá",1600303,2020-04-02,14,512902,503327,FALSE,FALSE,12,2.33963,2020-04-02,0,0,14,"AP",1,0
"Macapá",1600303,2020-04-03,14,512902,503327,FALSE,FALSE,19,3.70441,2020-04-03,0,0,15,"AP",7,0
"Macapá",1600303,2020-04-04,14,512902,503327,FALSE,FALSE,28,5.45913,2020-04-04,0.0357,1,16,"AP",9,1
"Macapá",1600303,2020-04-05,15,512902,503327,FALSE,FALSE,29,5.6541,2020-04-05,0.0345,1,17,"AP",1,0
"Macapá",1600303,2020-04-06,15,512902,503327,FALSE,FALSE,35,6.82392,2020-04-06,0.0286,1,18,"AP",6,0
"Macapá",1600303,2020-04-07,15,512902,503327,FALSE,FALSE,47,9.16354,2020-04-07,0.0213,1,19,"AP",12,0
"Macapá",1600303,2020-04-08,15,512902,503327,FALSE,FALSE,95,18.52206,2020-04-08,0.0105,1,20,"AP",48,0
"Macapá",1600303,2020-04-09,15,512902,503327,FALSE,FALSE,97,18.91199,2020-04-09,0.0103,1,21,"AP",2,0
"Macapá",1600303,2020-04-10,15,512902,503327,FALSE,FALSE,146,28.46548,2020-04-10,0.0068,1,22,"AP",49,0
"Macapá",1600303,2020-04-11,15,512902,503327,FALSE,FALSE,171,33.3397,2020-04-11,0.0175,3,23,"AP",25,2
"Macapá",1600303,2020-04-12,16,512902,503327,FALSE,FALSE,204,39.77368,2020-04-12,0.0147,3,24,"AP",33,0
"Macapá",1600303,2020-04-13,16,512902,503327,FALSE,FALSE,211,41.13846,2020-04-13,0.019,4,25,"AP",7,1
"Macapá",1600303,2020-04-14,16,512902,503327,FALSE,FALSE,261,50.88691,2020-04-14,0.0192,5,26,"AP",50,1
"Macapá",1600303,2020-04-15,16,512902,503327,FALSE,FALSE,290,56.54102,2020-04-15,0.0172,5,27,"AP",29,0
"Macapá",1600303,2020-04-16,16,512902,503327,FALSE,FALSE,303,59.07561,2020-04-16,0.0264,8,28,"AP",13,3
"Macapá",1600303,2020-04-17,16,512902,503327,FALSE,FALSE,312,60.83033,2020-04-17,0.0256,8,29,"AP",9,0
"Macapá",1600303,2020-04-18,16,512902,503327,FALSE,FALSE,328,63.94984,2020-04-18,0.0244,8,30,"AP",16,0
"Macapá",1600303,2020-04-19,17,512902,503327,FALSE,FALSE,341,66.48444,2020-04-19,0.0264,9,31,"AP",13,1
"Macapá",1600303,2020-04-20,17,512902,503327,FALSE,FALSE,358,69.79891,2020-04-20,0.0307,11,32,"AP",17,2
"Macapá",1600303,2020-04-21,17,512902,503327,FALSE,FALSE,386,75.25804,2020-04-21,0.0285,11,33,"AP",28,0
"Macapá",1600303,2020-04-22,17,512902,503327,FALSE,FALSE,405,78.96245,2020-04-22,0.0296,12,34,"AP",19,1
"Macapá",1600303,2020-04-23,17,512902,503327,FALSE,FALSE,451,87.93103,2020-04-23,0.031,14,35,"AP",46,2
"Macapá",1600303,2020-04-24,17,512902,503327,FALSE,FALSE,513,100.01911,2020-04-24,0.0312,16,36,"AP",62,2
"Macapá",1600303,2020-04-25,17,512902,503327,FALSE,FALSE,542,105.67321,2020-04-25,0.0295,16,37,"AP",29,0
"Macapá",1600303,2020-04-26,18,512902,503327,FALSE,FALSE,636,124.0003,2020-04-26,0.0283,18,38,"AP",94,2
"Macapá",1600303,2020-04-27,18,512902,503327,FALSE,FALSE,656,127.89968,2020-04-27,0.029,19,39,"AP",20,1
"Macapá",1600303,2020-04-28,18,512902,503327,FALSE,FALSE,708,138.03807,2020-04-28,0.0297,21,40,"AP",52,2
"Macapá",1600303,2020-04-29,18,512902,503327,FALSE,FALSE,789,153.83056,2020-04-29,0.0304,24,41,"AP",81,3
"Macapá",1600303,2020-04-30,18,512902,503327,FALSE,FALSE,827,161.23938,2020-04-30,0.0314,26,42,"AP",38,2
"Macapá",1600303,2020-05-01,18,512902,503327,FALSE,FALSE,857,167.08845,2020-05-01,0.0315,27,43,"AP",30,1
"Macapá",1600303,2020-05-02,18,512902,503327,FALSE,FALSE,892,173.91237,2020-05-02,0.0325,29,44,"AP",35,2
"Macapá",1600303,2020-05-03,19,512902,503327,FALSE,FALSE,1099,214.27095,2020-05-03,0.0273,30,45,"AP",207,1
"Macapá",1600303,2020-05-04,19,512902,503327,FALSE,FALSE,1263,246.24587,2020-05-04,0.0269,34,46,"AP",164,4
"Macapá",1600303,2020-05-05,19,512902,503327,FALSE,FALSE,1388,270.617,2020-05-05,0.0267,37,47,"AP",125,3
"Macapá",1600303,2020-05-06,19,512902,503327,FALSE,FALSE,1451,282.90005,2020-05-06,0.0255,37,48,"AP",63,0
"Macapá",1600303,2020-05-07,19,512902,503327,FALSE,FALSE,1559,303.9567,2020-05-07,0.0244,38,49,"AP",108,1
"Macapá",1600303,2020-05-08,19,512902,503327,FALSE,FALSE,1616,315.06994,2020-05-08,0.026,42,50,"AP",57,4
"Macapá",1600303,2020-05-09,19,512902,503327,FALSE,FALSE,1707,332.81212,2020-05-09,0.0252,43,51,"AP",91,1
"Macapá",1600303,2020-05-10,20,512902,503327,FALSE,FALSE,1790,348.99454,2020-05-10,0.024,43,52,"AP",83,0
"Macapá",1600303,2020-05-11,20,512902,503327,FALSE,FALSE,1832,357.18324,2020-05-11,0.024,44,53,"AP",42,1
"Macapá",1600303,2020-05-12,20,512902,503327,FALSE,FALSE,1966,383.30909,2020-05-12,0.027,53,54,"AP",134,9
"Macapá",1600303,2020-05-13,20,512902,503327,FALSE,FALSE,1990,387.98835,2020-05-13,0.0286,57,55,"AP",24,4
"Macapá",1600303,2020-05-14,20,512902,503327,FALSE,FALSE,2353,458.7621,2020-05-14,0.0263,62,56,"AP",363,5
"Macapá",1600303,2020-05-15,20,512902,503327,FALSE,FALSE,2513,489.95715,2020-05-15,0.0251,63,57,"AP",160,1
"Macapá",1600303,2020-05-16,20,512902,503327,FALSE,FALSE,2639,514.52324,2020-05-16,0.025,66,58,"AP",126,3
"Macapá",1600303,2020-05-17,21,512902,503327,FALSE,FALSE,2674,521.34716,2020-05-17,0.0269,72,59,"AP",35,6
"Macapá",1600303,2020-05-18,21,512902,503327,FALSE,FALSE,2692,524.8566,2020-05-18,0.0279,75,60,"AP",18,3
"Macapá",1600303,2020-05-19,21,512902,503327,FALSE,FALSE,2890,563.46047,2020-05-19,0.027,78,61,"AP",198,3
"Macapá",1600303,2020-05-20,21,512902,503327,FALSE,FALSE,2912,567.74978,2020-05-20,0.0282,82,62,"AP",22,4
"Macapá",1600303,2020-05-21,21,512902,503327,FALSE,FALSE,3257,635.0141,2020-05-21,0.0267,87,63,"AP",345,5
"Macapá",1600303,2020-05-22,21,512902,503327,FALSE,FALSE,3336,650.41665,2020-05-22,0.0273,91,64,"AP",79,4
